City,Country,Lat,Lng,Cloudiness,Humidity,Max Temp,Wind Speed
Sundumbili,ZA,-29.13,31.4,100,77,66.2,9.17
Salinas,US,36.68,-121.66,90,66,55.99,9.17
Seydi,TM,39.48,62.91,83,52,59.95,9.08
Sakakah,SA,29.97,40.21,0,48,60.8,13.87
Martapura,ID,-3.42,114.85,15,90,76.86,2.24
Zhangaözen,KZ,43.3,52.8,100,81,38.25,17.96
Gombong,ID,-7.61,109.51,63,89,77.72,1.66
Russell,US,32.35,-85.2,75,69,75.99,3.36
Petropavlovsk-Kamchatskiy,RU,53.05,158.65,100,42,26.6,11.18
Black River,JM,18.03,-77.85,20,65,82.4,20.8
Maracaçumé,BR,-2.04,-45.96,100,98,75.31,3.33
Lensk,RU,60.73,114.93,100,94,9.25,7.09
Sohbatpur,PK,28.52,68.54,0,29,72.14,4.74
Beringovskiy,RU,63.05,179.32,21,84,32.9,13.42
Farafenni,GM,13.57,-15.6,0,43,74.19,11.01
Fort Smith,US,35.39,-94.4,90,100,55.99,5.82
Monterey,US,36.25,-121.25,90,66,55.99,9.17
Caravelas,BR,-17.71,-39.25,0,82,81.1,10.65
Tianpeng,CN,30.99,103.94,0,87,55.0,3.65
Lorengau,PG,-2.02,147.27,100,76,83.25,7.56
Moscow,RU,55.75,37.62,42,69,37.4,6.71
Nukus,UZ,42.45,59.61,100,53,50.0,9.17
Novikovo,RU,51.15,37.89,21,68,31.86,5.5
Chicama,PE,-7.84,-79.15,75,88,73.4,9.17
Soyo,AO,-6.13,12.37,100,93,76.84,2.39
Daru,PG,-9.08,143.21,68,67,85.55,5.93
Marshalltown,US,42.05,-92.91,40,49,48.2,6.93
Lata,PT,40.16,-8.33,0,87,62.01,1.12
Kloulklubed,PW,7.04,134.26,75,74,82.4,5.82
Hofn,IS,64.25,-15.21,100,88,37.29,2.01
Marzuq,YE,14.4,46.47,76,85,64.6,5.61
Avera,US,33.19,-82.53,1,68,71.6,4.7
Rogers,US,36.37,-95.58,90,54,62.6,4.7
Cururupu,BR,-1.83,-44.87,69,95,74.3,2.08
Cabinda,AO,-5.55,12.2,100,80,80.06,4.74
Nyurba,RU,63.28,118.33,94,91,-7.4,5.46
Businga,CD,3.33,20.88,100,70,76.98,5.93
Teplice,CZ,50.64,13.82,2,93,45.0,9.17
Vitim,RU,59.45,112.56,100,93,8.83,8.86
Lac du Bonnet,CA,50.25,-96.06,100,59,23.0,4.0
Paso de los Toros,UY,-32.82,-56.52,100,50,71.37,12.37
Bambari,CF,5.77,20.68,52,35,77.38,1.97
Abatskiy,RU,56.29,70.46,99,87,27.84,16.64
Karratha,AU,-20.74,116.85,7,58,88.09,11.12
Clyde River,CA,70.47,-68.59,90,75,-16.6,11.41
Eureka,US,40.8,-124.16,90,70,48.99,9.17
Pochutla,MX,15.74,-96.47,21,67,84.13,9.75
Lagoa,PT,39.05,-27.98,0,80,62.58,15.95
Oktyabr'skiy,RU,54.48,53.47,87,94,31.15,6.76
Merke,KZ,42.87,73.18,93,70,52.5,4.97
Yeppoon,AU,-23.13,150.73,20,60,75.2,12.75
Smirnykh,RU,49.75,142.83,70,83,21.22,2.64
Muros,ES,42.78,-9.06,0,87,61.0,8.05
Caraballeda,VE,10.61,-66.85,35,88,72.0,6.93
Itacoatiara,BR,-3.14,-58.44,98,89,77.86,1.92
Price,US,39.6,-110.81,75,24,57.2,17.22
Ust-Nera,RU,64.57,143.2,47,94,-13.5,3.22
Mbini,GQ,1.57,9.61,100,84,82.22,9.55
Esperance,AU,-33.87,121.9,65,87,57.2,10.29
Muhafazat Lahij,YE,13.17,44.58,96,81,74.52,15.08
Kargopol',RU,61.51,38.95,97,87,31.28,12.82
Warrington,GB,53.39,-2.58,75,87,55.99,19.46
Cabo San Lucas,MX,22.89,-109.91,75,50,77.0,5.82
Saquarema,BR,-22.92,-42.51,75,88,75.2,11.41
Pyshchug,RU,58.89,45.71,47,85,27.46,8.32
Jiangyou,CN,31.77,104.72,21,56,45.28,2.62
Carutapera,BR,-1.2,-46.02,0,80,82.02,12.24
Impfondo,CG,1.64,18.07,92,84,74.08,3.2
Tamiahua,MX,21.27,-97.45,9,85,75.15,8.81
Totskoye,RU,52.52,52.76,62,86,28.6,6.71
Kenora,CA,49.82,-94.43,100,62,24.8,5.82
Old Town,US,44.93,-68.65,90,93,39.0,8.77
Calama,CL,-22.47,-68.93,54,40,68.0,25.28
Nemuro,JP,43.32,145.57,0,81,32.25,0.13
Kyra,RU,49.58,111.98,13,55,20.43,22.35
Kantang,TH,7.41,99.52,20,94,73.4,1.39
Paamiut,GL,61.99,-49.67,96,53,11.71,13.31
Rio Branco,BR,-9.97,-67.81,75,88,77.0,6.93
Antofagasta,CL,-23.65,-70.4,34,82,64.4,9.17
Marawi,PH,8.0,124.29,95,84,75.0,4.0
Kenda,IN,23.2,86.53,0,43,70.32,3.8
Saint-François,FR,46.42,3.91,0,87,53.01,1.52
Leshukonskoye,RU,64.9,45.76,100,85,27.63,11.07
Bay Roberts,CA,47.6,-53.26,75,73,28.0,19.46
Huainan,CN,32.63,117.0,34,65,57.92,7.58
Siilinjärvi,FI,63.08,27.67,40,86,37.4,17.22
Thanh Hoa,VN,19.8,105.77,100,92,71.83,9.8
Mossamedes,AO,-15.2,12.15,100,80,73.47,4.16
Lancaster,US,40.25,-76.25,90,58,55.0,11.41
Elizabeth City,US,36.29,-76.25,75,67,66.2,3.36
Sinjār,IQ,36.32,41.88,100,87,55.4,22.21
Okhotsk,RU,59.38,143.3,0,78,6.13,5.17
Coxquihui,MX,20.18,-97.58,68,91,68.36,2.28
Khovd,MN,48.01,91.64,0,48,25.92,2.17
Eilat,IL,29.56,34.95,8,42,62.6,25.28
Tumbagaan,PH,5.37,120.31,76,71,81.75,4.99
Yermakovskoye,RU,53.28,92.4,98,82,24.31,9.13
Manzhouli,CN,49.6,117.43,41,79,21.51,23.53
Roald,NO,62.58,6.13,100,86,37.4,33.33
General Roca,AR,-39.03,-67.58,77,33,75.2,9.17
Nishihara,JP,26.18,127.76,75,63,66.2,4.7
Lodwar,KE,3.12,35.6,100,55,83.64,2.35
Ozernovskiy,RU,51.5,156.52,100,65,23.05,17.54
Bathsheba,BB,13.22,-59.52,40,69,78.8,10.29
Pangnirtung,CA,66.15,-65.71,90,77,5.0,16.11
Crestview,US,30.76,-86.57,90,54,78.8,5.82
Dukat,RU,62.55,155.55,99,88,3.65,1.52
Puerto Ayacucho,VE,5.66,-67.62,40,32,95.0,9.17
Ouadda,CF,8.08,22.4,65,23,73.65,4.97
Byron Bay,AU,-28.65,153.62,36,56,73.4,13.87
Caluquembe,AO,-13.78,14.68,100,98,62.91,5.68
Port Hardy,CA,50.7,-127.42,20,65,46.4,5.82
Griffith,US,41.53,-87.42,1,38,48.99,6.93
Mira,IT,45.44,12.13,0,87,48.99,3.36
Erzin,TR,36.96,36.2,75,100,51.8,4.99
Ust-Tsilma,RU,65.44,52.15,100,85,25.72,7.67
Sandwick,GB,60.0,-1.25,45,80,39.2,25.28
Boysun,UZ,38.21,67.2,5,58,51.96,3.29
Bar Harbor,US,44.39,-68.2,90,100,39.0,5.82
Crib Point,AU,-38.35,145.2,95,49,78.01,20.18
Umluj,SA,25.02,37.27,0,60,65.89,11.3
